Sphinx 2.2.10-id64-release (2c212e0)
Copyright (c) 2001-2015, Andrew Aksyonoff
Copyright (c) 2008-2015, Sphinx Technologies Inc (http://sphinxsearch.com)

using config file '/data/server/gaojian/sphinx/sphinx.conf'...
dumping dictionary for index 'talent_index'...
keyword,docs,hits,offset
住,221002,276665,178152126
佐,458,603,351047911
佑,441,557,196356785
体,213487,943231,150912196
佔,5,5,366920977
何,17595,26658,184191298
佗,17,23,159237400
佘,136,188,377276289
余,25625,39237,197082288
佚,15,25,27253172
佛,5290,10257,147713227
作,226498,3847274,368156769
佝,1,1,204434912
佟,130,160,139259570
你,6611,13788,312914133
佢,1,1,80827774
佣,1752,2637,110832312
佤,2,2,307533180
佥,1,1,240781295
佧,1,1,103055636
佩,673,826,253918416
佪,1,1,78266764
佫,1,1,90462128
佬,71,87,322891908
佯,5,5,98361193
佰,1280,1769,299441157
佱,2,2,273885164
佲,2,2,52414023
佳,24513,36191,118142505
併,3,3,271727539
佶,37,43,50399267
佷,13,14,121588101
佸,24,35,289184315
佹,39,80,259542257
佺,17,32,62267986
佻,2,2,132289351
佼,229,464,284613866
佽,59,420,261457121
佾,7,7,63115484
使,92884,289711,130165475
侀,2,2,290356435
侁,1,1,257104173
侃,193,247,138260930
侄,3,3,282886324
來,41,86,66491033
侈,11213,13599,293208034
侉,1,1,280045013
例,32341,71226,117353902
侍,146,318,265408416
侎,1,1,50180133
侏,33,46,124348419
侑,3,3,251760354
侓,2,2,91309368
侔,8,9,320087178
侗,117,139,97012759
供,93573,291038,107895050
侜,1,1,308065377
依,19442,28452,238403588
侞,1,1,83706458
侠,1460,2472,375071905
価,53,94,197622315
侣,408,629,143289042
侥,11,11,203379635
侦,602,979,31113742
侧,4823,7904,142713207
侨,1775,3196,356823800
侩,7,7,191888773
侪,17,21,45178225
侫,1,1,153300801
侬,277,503,358598414
侭,1,2,188447677
侮,7,9,37245065
侯,1763,2097,158232814
侱,2,2,220218014
侵,1047,1897,209900935
侻,1,1,173215583
便,23810,38975,160077044
俀,1,1,322346557
係,71,175,69309717
促,38958,79298,97640246
俄,2034,4601,315312289
俅,1,2,253882704
俊,3005,3590,88884319
俌,1,1,313824697
俍,1,1,233920930
俎,4,6,80996527
俏,329,565,112426135
俐,176,196,286697625
俑,27,30,262433107
俗,1018,1120,133206132
俘,20,23,300713419
俚,12,13,50215749
俛,1,1,119965394
俜,2,2,299432540
保,119566,385358,273255848
俞,450,564,51954883
俟,2,2,118105784
信,160664,813826,212136050
俢,1,1,18560332
俣,11,13,177722439
俤,1,1,327802529
俥,1,1,215728437
俦,3,6,22887617
俨,14,14,339535695
俩,363,576,227987818
俪,119,136,7689010
俭,939,1176,225021298
修,69246,162962,4576955
俯,89,96,170358872
俰,1,1,369249935
俱,4260,6660,204469301
俳,7,10,139425690
俸,16,18,366685612
俹,1,1,183484111
俺,10,11,35072627
俻,1,1,159231274
俾,3,3,45230643
倆,1,1,159554329
倉,29,45,378679872
個,86,219,27656083
倌,5,6,206412800
倍,4362,6097,367509889
們,20,21,341461188
倒,2237,2901,170734347
倔,71,71,226931813
倖,1,5,166300889
倘,57,156,217321412
候,13516,36799,326877502
倚,171,277,176500482
倛,1,1,20990184
倜,7,7,212061419
借,11134,16629,19962848
倡,1239,1388,297192499
倢,1,1,119119702
値,15,18,269370555
倥,2,2,301854576
倦,237,251,119270812
倨,1,1,259918011
倩,978,1226,287928053
倪,440,525,135541289
倫,4,4,61028931
倬,20,20,261163170
倭,6,9,286971041
倰,1,1,232995547
倴,1,1,241203034
倹,1,1,316825718
债,5498,13844,89699494
值,60871,108060,243749930
倾,3254,3893,99680345
倿,1,1,67166351
偂,1,1,163808799
偃,26,29,8681433
偅,1,1,345529524
假,30032,43123,1305799
偈,2,2,210724980
偉,14,25,330922631
偊,1,1,182802750
偌,13,13,219842096
偍,5,5,326608810
偎,2,2,175301657
偏,5272,6965,27191071
偑,3,3,363026311
偓,5,5,40534749
偕,22,23,355087828
做,105796,237319,140458433
停,6420,9656,198948587
偠,1,1,235700013
健,32501,57002,311175747
偫,1,1,73035533
偬,1,1,252432829
偭,1,1,317838344
偰,1,1,267752194
偲,1,1,125443043
側,17,27,279135729
偵,2,2,296287803
偶,1772,2025,114846541
偷,278,395,57308952
偻,1,1,65514683
偿,2538,3883,59038809
傀,4,8,261136022
傅,1904,2797,287342450
傈,6,6,269383575
傍,64,75,298049431
傎,1,1,119205863
傑,12,16,322165512
傒,1,1,102170549
傓,1,1,69291451
傘,1,2,241139071
備,91,180,306314027
傛,1,1,86102185
傜,1,1,232975726
傞,2,2,110270218
傟,1,1,81038584
傠,1,1,205599746
傢,1,1,139434424
傣,67,89,32725888
傥,1,5,378585712
傧,6,8,27609411
储,34363,65096,185447480
傩,1,1,364333803
催,5580,9061,196005944
傭,1,1,353814559
傲,1191,1678,177018595
傳,23,46,20976370
債,20,35,327149892
傷,1,1,22185953
傸,1,1,226821784
傺,1,1,166132862
傻,150,207,7712105
傽,1,1,340793043
傾,3,3,170491118
僁,2,3,317499382
僂,1,1,92535395
僄,1,1,245718640
僅,7,9,320695811
僆,1,1,93964245
働,22,26,309744960
僎,1,1,105587823
像,10939,24125,85565882
僒,1,1,137676598
僖,18,25,128458997
僚,53,63,113136133
僜,1,1,267252688
僣,2,2,26492112
僥,1,5,330904095
僧,47,72,14624843
僬,1,1,232007137
僮,5,9,163852059
僰,1,1,199140627
僱,2,2,374292870
僳,5,5,28219945
僵,342,581,372757782
僶,1,1,142174069
僸,2,2,193633790
價,19,43,354613551
僻,58,65,42038242
僽,1,1,361472846
儀,14,19,326938968
儃,1,1,176501428
億,4,6,329707255
儅,2,3,212061461
儆,2,3,20015850
儊,1,1,3690971
儋,98,136,170745797
儌,1,1,339869574
儍,7,8,226932235
儎,1,1,8525461
儑,1,1,196958152
儒,345,413,27656540
儓,10,16,147057313
儕,2,2,206412788
儖,1,5,33583691
儗,25,38,140201997
儘,20,40,352505941
儚,51,158,46433763
儛,1,1,149570617
儜,9,14,363943728
